cache_hit_actual,cache_hit_expected,context_available,detected_domain,domain,expected_domain,query,response_time_s,sources_found,success,test_type,turn
False,False,,,nec,,What is NEC grounding requirements in Article 250?,2.34,,True,Cache Performance,
True,True,,,nec,,Tell me more about that,0.38,,True,Cache Performance,
False,False,,,solar,,How do solar panels work?,2.15,,True,Cache Performance,
True,True,,,solar,,Explain the efficiency,0.42,,True,Cache Performance,
False,False,,,wattmonk,,What is WattMonk's purpose?,1.89,,True,Cache Performance,
True,True,,,wattmonk,,Can you provide examples?,0.35,,True,Cache Performance,
,,,nec,,nec,What are NEC grounding standards?,,,True,Intent Routing,
,,,nec,,nec,Article 250 grounding requirements,,,True,Intent Routing,
,,,solar,,solar,How much does a solar panel cost?,,,True,Intent Routing,
,,,solar,,solar,Solar panel efficiency ratings,,,True,Intent Routing,
,,,wattmonk,,wattmonk,WattMonk energy monitoring features,,,True,Intent Routing,
,,,wattmonk,,wattmonk,Tell me about WattMonk,,,True,Intent Routing,
,,False,,,,What is grounding in electrical systems?,2.12,,True,Chat History Context,1
,,True,,,,Why is it important?,1.95,,True,Chat History Context,2
,,True,,,,Give me specific NEC references,1.87,,True,Chat History Context,3
,,,,,,NEC Article 250,,3,True,Source Accuracy,
,,,,,,Solar installation best practices,,3,True,Source Accuracy,
,,,,,,WattMonk capabilities,,2,True,Source Accuracy,
